id,is_successful,percentage_fund,funded,target,in_2020,backers,category,thumbnail_type,num_rewards,min_price,max_price,num_news,num_comments,num_contributions,num_creator_projects
0,successful,113 %,"€5,640","Out of €5,000",12/19/2020,71,film,png,6,10.0,500.0,0,14,72,1
1,successful,100 %,"€4,005","Out of €4,000",12/16/2020,15,film,jpg,9,5.0,600.0,0,3,18,1
2,successful,143 %,"€42,927","Out of €30,000",12/13/2020,731,film,jpg,12,15.0,350.0,4,113,744,1
3,successful,101 %,"€6,085","Out of €6,000",12/11/2020,115,film,jpg,10,10.0,500.0,0,35,125,1
4,successful,177 %,"€7,076","Out of €4,000",12/9/2020,164,film,png,6,5.0,200.0,1,25,168,10
5,successful,130 %,326 pre-orders,Out of 250,12/8/2020,322,film,png,8,42.0,500.0,6,32,325,1
6,successful,103 %,"€8,748","Out of €8,500",12/6/2020,169,film,jpg,11,5.0,1000.0,3,29,174,1
7,successful,214 %,"€4,630","Out of €2,160",12/5/2020,82,film,png,6,10.0,200.0,0,14,83,1
8,successful,123 %,"€12,264","Out of €10,000",12/4/2020,558,film,jpg,4,10.0,100.0,2,103,566,1
9,successful,120 %,"€7,215","Out of €6,000",12/2/2020,137,film,png,12,5.0,1500.0,6,31,146,2
10,successful,123 %,"€3,695","Out of €3,000",12/1/2020,85,film,png,7,5.0,200.0,4,13,95,1
11,successful,175 %,"€17,500","Out of €10,000",11/30/2020,496,film,jpeg,9,5.0,1000.0,0,93,508,1
12,successful,180 %,539 pre-orders,Out of 300,11/30/2020,413,film,jpg,7,30.0,1000.0,1,18,418,1
13,successful,340 %,340 pre-orders,Out of 100,11/30/2020,335,film,jpg,15,10.0,150.0,1,20,338,1
14,successful,166 %,"€6,645","Out of €4,000",11/29/2020,116,film,jpg,6,5.0,150.0,1,25,120,1
15,successful,102 %,"€3,060","Out of €3,000",11/29/2020,61,film,jpg,5,10.0,100.0,9,10,64,1
16,successful,102 %,"€5,600","Out of €5,500",11/27/2020,21,film,jpeg,3,100.0,1000.0,12,9,27,1
17,successful,281 %,"€84,377","Out of €30,000",11/23/2020,"1,488",film,png,9,5.0,1000.0,6,265,1539,1
18,successful,101 %,"€3,035","Out of €3,000",11/23/2020,66,film,jpg,10,5.0,1000.0,0,18,73,1
19,successful,102 %,"€7,157","Out of €7,000",11/23/2020,67,film,jpg,8,10.0,1000.0,3,7,73,1
20,successful,118 %,"€8,816","Out of €7,500",11/17/2020,121,film,jpg,6,10.0,500.0,2,18,125,1
21,successful,121 %,"€36,308","Out of €30,000",11/16/2020,"1,573",film,jpg,12,5.0,1000.0,2,306,1606,1
22,successful,106 %,"€3,120","Out of €2,950",11/14/2020,54,film,jpg,9,5.0,500.0,6,13,58,2
23,successful,213 %,"€14,920","Out of €7,000",11/10/2020,141,film,jpg,5,35.0,500.0,7,18,142,1
24,successful,118 %,"€3,080","Out of €2,600",11/9/2020,61,film,jpg,7,10.0,1500.0,5,12,61,6
25,successful,2192 %,"€1,096,111","Out of €50,000",11/8/2020,"19,701",film,JPG,6,5.0,165.0,1,3914,20447,1
26,successful,121 %,"€6,035","Out of €5,000",11/7/2020,112,film,jpeg,7,10.0,1000.0,0,13,115,6
27,successful,102 %,"€25,452","Out of €25,000",11/7/2020,426,film,jpg,10,5.0,2500.0,6,57,442,1
28,successful,140 %,"€3,080","Out of €2,200",11/7/2020,51,film,png,7,10.0,150.0,6,9,54,1
29,successful,100 %,"€4,000","Out of €4,000",11/7/2020,80,film,png,4,5.0,50.0,0,14,80,1
30,successful,108 %,"€3,245","Out of €3,000",11/7/2020,48,film,jpg,4,5.0,30.0,4,13,51,1
31,successful,101 %,"€15,205","Out of €15,000",10/31/2020,83,film,png,9,5.0,1000.0,3,18,84,1
32,successful,116 %,"€4,650","Out of €4,000",10/31/2020,48,film,png,7,10.0,1000.0,4,5,55,1
33,successful,103 %,"€3,080","Out of €3,000",10/23/2020,79,film,png,6,15.0,150.0,0,5,83,2
34,successful,111 %,"€15,000","Out of €13,500",10/20/2020,205,film,jpg,5,5.0,500.0,5,15,219,2
35,successful,109 %,"€3,260","Out of €3,000",10/18/2020,103,film,jpg,6,10.0,150.0,8,14,105,1
36,successful,113 %,"€5,640","Out of €5,000",12/19/2020,71,film,png,6,10.0,500.0,0,14,72,1
37,successful,100 %,"€4,005","Out of €4,000",12/16/2020,15,film,jpg,9,5.0,600.0,0,3,18,1
38,successful,143 %,"€42,927","Out of €30,000",12/13/2020,731,film,jpg,12,15.0,350.0,4,113,744,1
39,successful,101 %,"€6,085","Out of €6,000",12/11/2020,115,film,jpg,10,10.0,500.0,0,35,125,1
40,successful,177 %,"€7,076","Out of €4,000",12/9/2020,164,film,png,6,5.0,200.0,1,25,168,10
41,successful,130 %,326 pre-orders,Out of 250,12/8/2020,322,film,png,8,42.0,500.0,6,32,325,1
42,successful,103 %,"€8,748","Out of €8,500",12/6/2020,169,film,jpg,11,5.0,1000.0,3,29,174,1
43,successful,214 %,"€4,630","Out of €2,160",12/5/2020,82,film,png,6,10.0,200.0,0,14,83,1
44,successful,123 %,"€12,264","Out of €10,000",12/4/2020,558,film,jpg,4,10.0,100.0,2,103,566,1
45,successful,102 %,"€5,079","Out of €5,000",8/28/2020,78,film,jpg,5,15.0,1000.0,5,15,81,3
46,successful,101 %,"€4,030","Out of €4,000",8/14/2020,43,film,jpg,9,5.0,1000.0,0,8,46,1
47,successful,109 %,"€6,345","Out of €5,800",8/13/2020,102,film,jpg,7,10.0,1000.0,1,17,103,1
48,successful,126 %,253 pre-orders,Out of 200,8/8/2020,240,film,jpg,12,5.0,200.0,2,30,251,6
49,successful,102 %,"€22,395","Out of €22,000",8/8/2020,355,film,jpg,11,1.0,975.0,2,37,365,1
50,successful,110 %,"€4,405","Out of €4,000",8/7/2020,54,film,jpg,3,10.0,50.0,0,13,55,2
51,successful,109 %,"€6,200","Out of €5,700",8/5/2020,78,film,jpg,7,10.0,400.0,7,19,81,1
52,successful,102 %,"€3,575","Out of €3,500",8/3/2020,44,film,png,4,5.0,50.0,3,5,49,1
53,successful,102 %,"€7,676","Out of €7,500",8/1/2020,54,film,png,11,20.0,1500.0,7,4,55,1
54,successful,132 %,"€4,220","Out of €3,200",8/1/2020,65,film,png,6,10.0,1000.0,3,4,66,1
55,successful,5244 %,"€1,835,572","Out of €35,000",7/31/2020,"25,286",film,jpg,8,15.0,195.0,0,4588,25635,1
56,successful,112 %,"€3,351","Out of €3,000",7/30/2020,52,film,jpg,11,1.0,1000.0,1,14,56,2
57,successful,127 %,"€3,810","Out of €3,000",7/29/2020,34,film,jpg,5,5.0,200.0,0,6,36,2
58,successful,100 %,"€4,500","Out of €4,500",7/27/2020,58,film,jpg,9,10.0,1000.0,0,14,59,1
59,successful,111 %,"€3,146","Out of €2,845",7/25/2020,79,film,png,6,5.0,200.0,4,5,80,1
60,successful,105 %,"€3,685","Out of €3,500",7/19/2020,120,film,jpg,7,5.0,100.0,3,13,124,1
61,successful,111 %,"€5,570","Out of €5,000",7/18/2020,95,film,jpg,7,10.0,200.0,1,24,99,1
62,successful,1949 %,"€194,882","Out of €10,000",7/16/2020,"4,873",film,jpg,7,5.0,160.0,15,599,4910,1
63,successful,103 %,"€6,675","Out of €6,500",7/15/2020,54,film,JPG,7,10.0,200.0,0,10,57,1
64,successful,276 %,"€22,047","Out of €8,000",7/13/2020,220,film,jpg,9,5.0,500.0,12,26,222,1
65,successful,100 %,"€6,520","Out of €6,500",7/10/2020,72,film,png,5,15.0,250.0,3,11,75,1
66,successful,114 %,"€5,680","Out of €5,000",7/8/2020,40,film,png,6,20.0,500.0,6,8,41,1
67,successful,106 %,"€15,846","Out of €15,000",7/5/2020,350,film,png,4,10.0,50.0,6,40,352,1
68,successful,211 %,"€21,056","Out of €10,000",7/5/2020,219,film,jpg,11,5.0,1000.0,18,39,238,3
69,successful,139 %,"€4,858","Out of €3,500",7/5/2020,63,film,jpg,6,10.0,300.0,6,19,66,1
70,successful,176 %,"€4,408","Out of €2,500",7/3/2020,68,film,jpg,9,5.0,1000.0,14,7,76,1
71,successful,296 %,887 pre-orders,Out of 300,7/2/2020,879,film,png,8,45.0,1125.0,2,83,881,3
72,successful,230 %,"€5,755","Out of €2,500",7/1/2020,65,film,png,7,10.0,1000.0,0,3,66,1
