id,is_successful,percentage_fund,funded,target,in_2020,backers,category,thumbnail_type,num_rewards,min_price,max_price,num_news,num_comments,num_contributions,num_creator_projects
0,successful,108 %,"€7,150","Out of €6,600",12/17/2020,123,music,png,8,15.0,600.0,0,18,133,3
1,successful,152 %,"€5,328","Out of €3,500",12/17/2020,86,music,jpg,4,10.0,120.0,2,20,87,1
2,successful,100 %,"€4,005","Out of €4,000",12/16/2020,15,music,jpg,9,5.0,600.0,0,3,18,1
3,successful,120 %,"€10,803","Out of €9,000",12/16/2020,162,music,jpg,12,20.0,800.0,2,46,169,1
4,successful,115 %,"€3,215","Out of €2,800",12/15/2020,28,music,jpg,10,5.0,550.0,7,8,39,1
5,successful,105 %,"1,053 pre-orders","Out of 1,000",12/15/2020,560,music,gif,11,10.0,450.0,4,41,560,1
6,successful,255 %,"€3,822","Out of €1,500",12/12/2020,90,music,jpg,14,5.0,500.0,0,19,100,3
7,successful,102 %,"€3,055","Out of €3,000",12/12/2020,31,music,jpg,5,5.0,600.0,1,11,32,2
8,successful,107 %,"€3,200","Out of €3,000",12/12/2020,24,music,png,5,1.0,100.0,3,2,34,1
9,successful,102 %,"€4,885","Out of €4,800",12/11/2020,112,music,jpg,15,5.0,4800.0,7,28,124,1
10,successful,167 %,"€3,337","Out of €2,000",12/11/2020,102,music,jpg,7,8.0,300.0,0,29,104,1
11,successful,102 %,"€5,089","Out of €5,000",12/11/2020,61,music,jpg,10,5.0,1000.0,0,14,62,2
12,successful,100 %,"€6,000","Out of €6,000",12/10/2020,86,music,png,11,10.0,1000.0,2,21,91,1
13,successful,107 %,"€5,567","Out of €5,200",12/6/2020,104,music,jpg,12,5.0,840.0,3,25,106,1
14,successful,116 %,"€17,397","Out of €15,000",12/3/2020,233,music,jpg,14,5.0,1000.0,1,49,239,2
15,successful,155 %,"€4,647","Out of €3,000",12/2/2020,171,music,jpg,9,10.0,1000.0,12,29,174,3
16,successful,292 %,"€4,378","Out of €1,500",12/1/2020,23,music,jpg,7,25.0,500.0,1,6,23,2
17,successful,138 %,"€6,223","Out of €4,500",12/1/2020,108,music,jpg,14,5.0,150.0,2,18,111,1
18,successful,175 %,"€17,500","Out of €10,000",11/30/2020,496,music,jpeg,9,5.0,1000.0,0,93,508,1
19,successful,100 %,"€12,000","Out of €12,000",11/28/2020,9,music,jpeg,3,250.0,1000.0,0,1,9,1
20,successful,103 %,"€5,140","Out of €5,000",11/27/2020,38,music,jpg,3,30.0,100.0,0,10,41,1
21,successful,306 %,"€30,574","Out of €10,000",11/22/2020,536,music,png,11,30.0,500.0,14,107,543,1
22,successful,111 %,"€4,424","Out of €4,000",11/22/2020,85,music,jpg,12,10.0,1000.0,0,13,89,1
23,successful,114 %,"€9,122","Out of €8,000",11/22/2020,122,music,jpeg,7,10.0,1000.0,0,40,140,1
24,successful,101 %,"€5,074","Out of €5,000",11/21/2020,119,music,jpg,9,2.0,1000.0,1,23,129,1
25,successful,158 %,"€6,327","Out of €4,000",11/21/2020,160,music,jpg,6,1.0,4000.0,0,30,163,1
26,successful,121 %,182 pre-orders,Out of 150,11/19/2020,125,music,jpg,7,20.0,200.0,2,26,135,1
27,successful,130 %,"€5,860","Out of €4,500",11/18/2020,108,music,jpg,9,10.0,1000.0,1,10,111,3
28,successful,170 %,"€4,255","Out of €2,500",11/17/2020,85,music,jpg,19,10.0,600.0,2,26,86,1
29,successful,103 %,"€5,691","Out of €5,500",11/17/2020,113,music,png,13,10.0,1000.0,0,22,117,28
30,successful,128 %,"€3,189","Out of €2,500",11/17/2020,90,music,jpg,10,5.0,1000.0,4,18,90,1
31,successful,211 %,"€4,651","Out of €2,200",11/15/2020,124,music,jpg,7,10.0,100.0,0,12,127,1
32,successful,102 %,"€10,151","Out of €10,000",11/14/2020,98,music,png,8,10.0,325.0,3,9,100,1
33,successful,110 %,"€4,387","Out of €4,000",11/13/2020,75,music,jpg,5,10.0,300.0,3,17,76,1
34,successful,101 %,"€3,045","Out of €3,000",11/11/2020,47,music,png,15,5.0,300.0,2,6,58,1
35,successful,184 %,"€11,035","Out of €6,000",11/11/2020,160,music,jpg,7,10.0,1000.0,4,73,166,1
36,successful,118 %,"€3,080","Out of €2,600",11/9/2020,61,music,jpg,7,10.0,1500.0,5,12,61,6
37,successful,107 %,"€3,740","Out of €3,500",11/9/2020,62,music,jpg,8,10.0,500.0,0,15,71,1
38,successful,103 %,"€4,130","Out of €4,000",11/8/2020,51,music,png,7,20.0,1000.0,0,16,52,1
39,successful,109 %,"€3,683","Out of €3,365",11/6/2020,53,music,png,7,10.0,600.0,0,14,58,1
40,successful,250 %,"€6,240","Out of €2,500",11/3/2020,104,music,jpg,5,10.0,500.0,2,28,105,1
