id,is_successful,percentage_fund,funded,target,in_2020,backers,category,thumbnail_type,num_rewards,min_price,max_price,num_news,num_comments,num_contributions,num_creator_projects
0,successful,117 %,"€17,555","Out of €15,000",12/6/2020,301,sport,png,6,10.0,55.0,3,51,326,1
1,successful,102 %,"€8,173","Out of €8,000",11/29/2020,36,sport,jpeg,8,5.0,500.0,1,13,47,1
2,successful,107 %,"€8,040","Out of €7,500",11/22/2020,128,sport,jpeg,6,10.0,500.0,5,18,133,1
3,successful,185 %,314 pre-orders,Out of 170,11/21/2020,252,sport,jpg,5,20.0,100.0,2,32,262,3
4,successful,117 %,"€3,510","Out of €3,000",11/19/2020,44,sport,png,11,10.0,1000.0,2,8,47,1
5,successful,337 %,"€11,810","Out of €3,500",11/12/2020,122,sport,jpg,9,15.0,550.0,2,47,128,1
6,successful,132 %,"€10,560","Out of €8,000",11/12/2020,109,sport,jpg,5,10.0,1000.0,2,30,115,1
7,successful,124 %,"€8,070","Out of €6,500",11/8/2020,74,sport,png,11,5.0,500.0,1,11,74,1
8,successful,182 %,182 pre-orders,Out of 100,10/15/2020,116,sport,jpg,10,25.0,1500.0,10,11,117,13
9,successful,129 %,"€19,344","Out of €15,000",10/12/2020,196,sport,jpg,9,10.0,3000.0,0,82,199,1
10,successful,211 %,"€16,885","Out of €8,000",10/4/2020,222,sport,jpg,5,15.0,1000.0,4,52,227,1
11,successful,205 %,"€6,135","Out of €3,000",10/3/2020,81,sport,jpg,5,15.0,250.0,4,19,82,1
12,successful,112 %,"€3,911","Out of €3,500",9/27/2020,48,sport,jpeg,11,1.0,2000.0,3,10,59,1
13,successful,204 %,"€20,364","Out of €10,000",9/10/2020,295,sport,jpg,17,5.0,130.0,6,10,303,2
14,successful,168 %,"€13,470","Out of €8,000",9/10/2020,73,sport,gif,10,30.0,1500.0,0,25,75,1
15,successful,107 %,"€8,536","Out of €8,000",9/2/2020,74,sport,png,5,10.0,100.0,2,3,78,1
16,successful,175 %,"€5,261","Out of €3,000",8/25/2020,79,sport,jpg,7,15.0,110.0,0,15,83,1
17,successful,238 %,"€23,801","Out of €10,000",8/3/2020,226,sport,gif,5,10.0,599.0,5,20,234,1
18,successful,117 %,"€17,555","Out of €15,000",12/6/2020,301,sport,png,6,10.0,55.0,3,51,326,1
19,successful,102 %,"€8,173","Out of €8,000",11/29/2020,36,sport,jpeg,8,5.0,500.0,1,13,47,1
20,successful,107 %,"€8,040","Out of €7,500",11/22/2020,128,sport,jpeg,6,10.0,500.0,5,18,133,1
21,successful,185 %,314 pre-orders,Out of 170,11/21/2020,252,sport,jpg,5,20.0,100.0,2,32,262,3
22,successful,117 %,"€3,510","Out of €3,000",11/19/2020,44,sport,png,11,10.0,1000.0,2,8,47,1
