id,is_successful,percentage_fund,funded,target,in_2020,backers,category,thumbnail_type,num_rewards,min_price,max_price,num_news,num_comments,num_contributions,num_creator_projects
0,successful,100 %,"€4,005","Out of €4,000",12/16/2020,15,theatre,jpg,9,5.0,600.0,0,3,18,1
1,successful,131 %,"€7,859","Out of €6,000",12/16/2020,40,theatre,jpeg,7,20.0,500.0,0,6,43,1
2,successful,104 %,"€4,250","Out of €4,100",12/16/2020,58,theatre,png,7,5.0,1000.0,0,10,60,1
3,successful,103 %,"€7,761","Out of €7,500",11/28/2020,52,theatre,jpg,7,25.0,1000.0,0,13,52,1
4,successful,118 %,"€3,080","Out of €2,600",11/9/2020,61,theatre,jpg,7,10.0,1500.0,5,12,61,6
5,successful,101 %,"€3,030","Out of €3,000",11/7/2020,26,theatre,jpeg,3,10.0,50.0,1,4,26,1
6,successful,100 %,"€3,352","Out of €3,350",10/31/2020,32,theatre,jpg,5,20.0,500.0,0,1,33,1
7,successful,114 %,"€5,369","Out of €4,700",10/3/2020,103,theatre,jpg,7,5.0,300.0,0,15,104,1
8,successful,112 %,"€11,196","Out of €10,000",9/8/2020,60,theatre,jpg,7,10.0,1000.0,1,16,63,1
9,successful,125 %,"€6,250","Out of €5,000",9/7/2020,101,theatre,JPG,5,15.0,100.0,0,16,102,1
10,successful,118 %,"€4,735","Out of €4,000",8/31/2020,38,theatre,jpg,6,10.0,100.0,0,2,39,1
11,successful,101 %,"€3,430","Out of €3,400",8/11/2020,60,theatre,jpeg,11,5.0,800.0,0,19,68,1
12,successful,109 %,"€6,200","Out of €5,700",8/5/2020,78,theatre,jpg,7,10.0,400.0,7,19,81,1
13,successful,106 %,"€4,455","Out of €4,200",7/24/2020,32,theatre,jpg,6,10.0,1000.0,1,3,32,1
14,successful,101 %,"€5,035","Out of €5,000",7/18/2020,72,theatre,png,8,5.0,500.0,0,16,77,1
15,successful,106 %,"€10,647","Out of €10,000",6/29/2020,241,theatre,jpg,7,5.0,150.0,3,16,244,1
16,successful,111 %,"€7,570","Out of €6,800",6/24/2020,94,theatre,jpg,8,10.0,2000.0,0,31,94,1
17,successful,104 %,"€9,985","Out of €9,600",6/20/2020,164,theatre,jpg,13,10.0,1650.0,3,38,169,1
18,successful,132 %,"€5,270","Out of €4,000",6/17/2020,80,theatre,jpg,11,10.0,3000.0,1,22,88,1
19,successful,111 %,"€16,599","Out of €15,000",6/16/2020,239,theatre,jpg,7,10.0,1000.0,4,51,241,1
20,successful,100 %,"€6,020","Out of €6,000",6/8/2020,36,theatre,jpg,11,10.0,10000.0,0,2,41,1
21,successful,227 %,"€6,819","Out of €3,000",6/2/2020,241,theatre,png,7,5.0,150.0,2,54,243,1
