,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
0,https://www.kisskissbankbank.com/en/projects/test-failed,Test-Failed,Failed,0,0.0,100.0,2018-05-30,0,,png,0,-1.0,-1.0,0,0,0,https://www.kisskissbankbank.com/en/users/kisskissbankbank-noel,fr,test-failed
1,https://www.kisskissbankbank.com/en/projects/365-plus-un,365 PLUS UN: Sustainable Fashion Accessories made by Artist,Failed,18,550.0,3000.0,2019-12-05,11,,jpg,11,5.0,3500.0,3,1,12,https://www.kisskissbankbank.com/en/users/kamilla-sani-gabdullina,en,"join, 365, plus, un, adventure"
2,https://www.kisskissbankbank.com/en/projects/juan-francisco-casas-a-utopic-bootleg-arttitude,Juan Francisco Casas - (A)utopic (BOOTleg ARTtitude),Failed,32,960.0,3000.0,2014-06-20,26,,jpg,5,5.0,60.0,0,1,26,https://www.kisskissbankbank.com/en/users/frederic-claquin,en,"discover, exclusively, new, title, ""bootleg"", collection, arttitude, (a)utopic, juan, francisco, casas."
3,https://www.kisskissbankbank.com/en/projects/peace-project,Peace Project,Failed,0,0.0,3000.0,2015-12-14,0,,png,6,5.0,100.0,0,0,0,https://www.kisskissbankbank.com/en/users/paxproject,en,"every, voice, needs, heard, every, life, needs, respected, everyone, deserves, chance, peace, project, stories, need, hear!"
4,https://www.kisskissbankbank.com/en/projects/l-ile-invisible-fukushima/tabs/comments,L'ÎLE INVISIBLE *Fukushima  見えない島,Successful,120,6043.0,5000.0,2017-04-10,45,,jpg,0,-1.0,-1.0,2,11,45,https://www.kisskissbankbank.com/en/users/pika-pika-films,en,"documentary, film,, search, spirit, zone,, story, nature,, failed, technology, people."
5,https://www.kisskissbankbank.com/en/projects/l-ile-invisible-fukushima/tabs/description,L'ÎLE INVISIBLE *Fukushima  見えない島,Successful,120,6043.0,5000.0,2017-04-10,45,,jpg,11,15.0,5000.0,2,11,45,https://www.kisskissbankbank.com/en/users/pika-pika-films,en,"documentary, film,, search, spirit, zone,, story, nature,, failed, technology, people."
6,https://www.kisskissbankbank.com/en/projects/premier-long-metrage-angele-et-mes-demons,First Feature Film: Angèle Et Mes Démons ,Successful,100,4009.0,4000.0,2020-10-02,24,Indie,png,3,10.0,100.0,0,10,29,https://www.kisskissbankbank.com/en/users/lucas-beccaro,en,"feature, made, youth, youth"
7,https://www.kisskissbankbank.com/en/projects/kluster-un-jeu-d-aimants/tabs/faqs,"Kluster, a magnetik game!",Successful,1006,30192.0,3000.0,2019-04-24,"1,081",,png,0,-1.0,-1.0,21,213,1096,https://www.kisskissbankbank.com/en/users/borderline-editions,en,"irresistible, magnetic, game, 1, 4, players,, short,, fun,, really, simple,, accessible, everyone, still, full, strategy!"
8,https://www.kisskissbankbank.com/en/projects/excroissance,Excroissance,Failed,33,835.0,2500.0,2015-01-28,26,,jpg,7,5.0,300.0,0,10,26,https://www.kisskissbankbank.com/en/users/leo-pacquelet,en,"film, man, disabled, tries, make, use, deficiency, redefine, environment."
9,https://www.kisskissbankbank.com/en/projects/writing-residency-to-write-the-core-of-the-book-about-my-mother,Writing residency to write a book about my mother,Successful,120,1800.0,1500.0,2020-11-20,7,"Feminism,Change your life",png,0,-1.0,-1.0,0,4,9,https://www.kisskissbankbank.com/en/users/nathalie-nana,en,"help, become, writer"
