,Unnamed: 0,backers,creater_link,end_date,funded,language,max_price,min_price,num_comments,num_contributions,num_news,number_rewards,percentage_fund,pro_link,short_des,status,subcategory,target,thumbnail_type,title
0,0,244,https://www.kisskissbankbank.com/en/users/chiche--6,12/06/2018,"€13,345",fr,10001.0,5.0,49.0,244.0,3.0,13.0,111.0,https://www.kisskissbankbank.com/en/projects/chiche-se-lance-dans-le-pois-chiche-chocolate,AIDEZ NOUS À ATTEINDRE LES 15 000e POUR NOTRE CHICHE MOBILE et pour un Noël merveilleux rempli de CHICHE au chocolat sous votre sapin !,Successful,,"Out of €12,000",jpg,CHICHE se lance dans le pois chiche chocolaté !
1,1,49,https://www.kisskissbankbank.com/en/users/van-quish,12/06/2018,"€3,848",fr,100.0,5.0,6.0,49.0,0.0,4.0,101.0,https://www.kisskissbankbank.com/en/projects/rdv-le-site-qui-appartient-aux-passionnes-d-automobile,"Trouver en un seul clic tous les évènements automobiles autour de vous!
Avec vos accès VIP partagez du contenu gratuitement à vie!",Successful,,"Out of €3,800",png,RDV! Le site qui appartient aux passionnés d'automobile!
2,2,823,https://www.kisskissbankbank.com/en/users/mc4--2,12/05/2018,"€47,400",fr,200.0,5.0,169.0,823.0,7.0,3.0,237.0,https://www.kisskissbankbank.com/en/projects/la-marche-des-loups,"Après avoir disparu pendant près de 80 ans et malgré les obstacles, les loups sont en train de retrouver leurs anciens territoires ",Successful,,"Out of €20,000",jpg,LA MARCHE DES LOUPS
3,3,96,https://www.kisskissbankbank.com/en/users/balnoir-paris,12/05/2018,115 pre-orders,fr,1500.0,30.0,24.0,106.0,3.0,11.0,128.0,https://www.kisskissbankbank.com/en/projects/balnoir-paris-la-parfaite-petite-robe-noire,"Découvrez la marque Balnoir Paris et le lancement de sa nouvelle collection, composée uniquement d'intemporelles petites robes noires.",Successful,,Out of 90,png,"Balnoir Paris, la parfaite petite robe noire"
4,4,228,https://www.kisskissbankbank.com/en/users/lucien-prod,12/05/2018,"€20,511",en,1200.0,5.0,34.0,205.0,18.0,11.0,137.0,https://www.kisskissbankbank.com/en/projects/healing-hearts-une-histoire-de-coeurs,Israeli and Palestinian doctors work together to save the lives of sick children. Please support this documentary which tells their story!,Successful,,"Out of €15,000",jpg,HEALING HEARTS // UNE HISTOIRE DE COEURS
5,5,62,https://www.kisskissbankbank.com/en/users/dailyfit-spm,12/05/2018,"€11,065",fr,1000.0,20.0,0.0,62.0,0.0,7.0,111.0,https://www.kisskissbankbank.com/en/projects/le-hangar-gym--2,Encouragez et soutenez la création d'une salle de musculation unique à St-Pierre ... ,Successful,,"Out of €10,000",jpg,LE HANGAR GYM
6,6,208,https://www.kisskissbankbank.com/en/users/la-rabbia,12/05/2018,"€12,342",en,430.0,35.0,24.0,170.0,4.0,9.0,123.0,https://www.kisskissbankbank.com/en/projects/memories-of-murder-l-edition-vinyle-de-la-musique-du-film-par-taro-iwashiro,A very special edition for a very special film: “Memories of Murder”’s soundtrack to be published in vinyl - world exclusive.,Successful,,"Out of €10,000",jpg,MEMORIES OF MURDER: l'édition vinyle de la musique du film par Taro Iwashirô
7,7,34,https://www.kisskissbankbank.com/en/users/thibaud--10,12/04/2018,"€7,130",fr,1000.0,10.0,6.0,34.0,0.0,9.0,102.0,https://www.kisskissbankbank.com/en/projects/common-point,"Rencontrez vos collègues, partagez vos points communs et vivez des moments uniques avec Common Point.  ",Successful,,"Out of €7,000",jpg,Common Point
8,8,155,https://www.kisskissbankbank.com/en/users/nadege--11,12/04/2018,"€11,330",fr,300.0,5.0,24.0,155.0,3.0,9.0,160.0,https://www.kisskissbankbank.com/en/projects/un-nouvel-environnement-pour-mon-ecole,Contribuez à l’amélioration de notre nouvelle implantation!,Successful,,"Out of €7,100",jpg,Un nouvel environnement pour mon école
9,9,17,https://www.kisskissbankbank.com/en/users/les-tournaisiennes,12/04/2018,"€4,125",fr,1000.0,5.0,4.0,17.0,0.0,9.0,101.0,https://www.kisskissbankbank.com/en/projects/les-tournaisiennes--2,"INEDIT :  ""Les Tournaisiennes"" arrivent !!!
               Un commerce qui a une âme et qui ouvre son coeur  ❤",Successful,,"Out of €4,100",jpg,Les Tournaisiennes
