,Unnamed: 0,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
0,0,https://www.kisskissbankbank.com/en/projects/embarquez-avec-nicolas-sur-la-mini-transat-2015,Embarquez avec Nicolas sur la Mini Transat 2015,Successful,140,"€7,021","Out of €5,000",02/08/2015,43,,jpg,7,10.0,1000.0,0,14,43,https://www.kisskissbankbank.com/en/users/n_destais,en,"Transatlantic, single-handed sailing race on 21 feet yachts, without assistance or any interaction with the outside world."
1,1,https://www.kisskissbankbank.com/en/projects/la-collection-lise-b-le-catalogue,La collection Lise B. Le catalogue,Successful,113,"€3,655","Out of €3,240",02/07/2015,67,,jpg,5,10.0,200.0,3,19,67,https://www.kisskissbankbank.com/en/users/les-zonards-celestes-danse,fr,"Sous la forme d’un tabloïd de 12 pages en noir & blanc, le catalogue de La collection Lise B. présente les documents majeurs de l’exposition"
2,2,https://www.kisskissbankbank.com/en/projects/nemehotates-album-don-diego,"""NEMEHOTATES""- album Don Diego",Successful,101,"€3,040","Out of €3,000",02/07/2015,82,,jpeg,7,5.0,200.0,6,27,82,https://www.kisskissbankbank.com/en/users/don-diego--3,fr,"Aidez à financer l'enregistrement de mon album ""Nemehotates"" ... Votre participation à ce projet est primordiale, Merci beaucoup !!!"
3,3,https://www.kisskissbankbank.com/en/projects/fantoche,Fantoche,Successful,125,"€6,245","Out of €5,000",02/07/2015,153,,jpg,9,1.0,500.0,5,46,153,https://www.kisskissbankbank.com/en/users/maelstrom-studios,fr,Nous avons besoin de vous pour que notre court-métrage d'animation en volume Fantoche puisse voir le jour !
4,4,https://www.kisskissbankbank.com/en/projects/tu-tournes-en-rond-dans-la-nuit-et-tu-es-devore-par-le-feu,Tu Tournes en rond dans la nuit et tu es dévoré par le feu,Successful,103,"€5,165","Out of €5,000",02/06/2015,39,,jpg,7,10.0,1000.0,2,2,39,https://www.kisskissbankbank.com/en/users/5jprod,fr,"Ce film tourné en super 16mm N&B propose une plongée dans le bouillonnement
des pensées d'un jeune homme qui doute, le temps d'une nuit..."
5,5,https://www.kisskissbankbank.com/en/projects/la-ferme-urugero-au-rwanda,La Ferme Urugero au Rwanda,Successful,102,"€7,170","Out of €7,000",02/06/2015,88,,jpg,5,5.0,500.0,4,10,88,https://www.kisskissbankbank.com/en/users/appuirwanda,fr,"Participez au financement de la première ferme d’œufs bio au Rwanda, génératrice d'emplois pour les survivants du génocide !"
6,6,https://www.kisskissbankbank.com/en/projects/ces-filles-aux-seins-repasses-2,Ces filles aux seins repassés 2,Successful,106,"€5,285","Out of €5,000",02/06/2015,87,,jpg,10,5.0,1000.0,3,15,87,https://www.kisskissbankbank.com/en/users/kirk-bayama,fr,Un documentaire et un livre qui vous font découvrir une mutilation sexuelle très peu connue et  qui touche près de 800 000 adolescentes.
7,7,https://www.kisskissbankbank.com/en/projects/degiheugi-new-album,DEGIHEUGI - NEW ALBUM,Successful,171,"€5,131","Out of €3,000",02/05/2015,208,,jpg,8,5.0,500.0,0,57,208,https://www.kisskissbankbank.com/en/users/degih,fr,Participez à la sortie de mon nouvel album et aidez moi à réaliser un vieux rêve : le faire Presser sur un beau vinyle !
8,8,https://www.kisskissbankbank.com/en/projects/graines-de-vie--3,Graines de Vie,Successful,120,"€65,025","Out of €54,000",02/05/2015,"1,654",,png,9,10.0,5000.0,5,139,1647,https://www.kisskissbankbank.com/en/users/intelligenceverte,en,Enrol in the most beautiful mission and let us sow seeds of hope !
9,9,https://www.kisskissbankbank.com/en/projects/la-conserverie-des-jardins-de-cidamos,La conserverie des Jardins de Cidamos,Successful,103,"€15,485","Out of €15,000",02/05/2015,125,,jpg,10,5.0,5000.0,9,28,125,https://www.kisskissbankbank.com/en/users/mathilde--10,fr,Contribuez à la création d'une conserverie pour transformer les légumes de la ferme en conserves à déguster toute l'année !
10,10,https://www.kisskissbankbank.com/en/projects/l-oeil-du-cyclone,L'Oeil du Cyclone,Successful,100,"€10,048","Out of €10,000",02/05/2015,34,,jpg,5,10.0,500.0,0,6,34,https://www.kisskissbankbank.com/en/users/axel-guyot-les-films-d-avalon,fr,Aidez nous à finaliser un long-métrage tourné au Burkina Faso !
