,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
0,https://www.kisskissbankbank.com/en/projects/des-vies-sauvages,Des Vies Sauvages,Successful,101,"€3,520","Out of €3,500",08/01/2019,48,,jpg,11,10.0,2500.0,1,5,50,https://www.kisskissbankbank.com/en/users/les-vingtiemes-rugissants,fr,"Une pièce sur le combat d'une femme. 
Sur les luttes et les rêves d'une vie ordinaire. 
À soutenir absolument ! 
"
1,https://www.kisskissbankbank.com/en/projects/dago-dago-1er-ep-barbele,"Dago Dago - 1er EP ""Barbelé""",Successful,102,"€5,117","Out of €5,000",08/01/2019,86,,jpg,10,1.0,1000.0,2,17,92,https://www.kisskissbankbank.com/en/users/vanessa-tanghe--2,fr,Aidez-nous à sortir notre 1er EP !
2,https://www.kisskissbankbank.com/en/projects/jsfdvma,Papeterie j.s.f.d.v.m.a.,Successful,107,107 pre-orders,Out of 100,08/01/2019,73,,gif,5,5.0,50.0,0,9,89,https://www.kisskissbankbank.com/en/users/j-s-f-d-v-m-a,en,Stationery line for travelers and paper lovers!
3,https://www.kisskissbankbank.com/en/projects/participer-aux-nouveaux-defis-de-kaptain-oats,Participer aux nouveaux défis de KAPTAIN OATS !,Successful,118,"€10,575","Out of €9,000",07/31/2019,53,,jpg,11,5.0,2000.0,0,6,54,https://www.kisskissbankbank.com/en/users/guillaume-vermeire-2,fr,"Soyez les partenaires des succès de Kaptain Oats !
Soutenez la levée de fonds pour le nouveau single et les projets de 2019 !"
4,https://www.kisskissbankbank.com/en/projects/alice-la-stagiaire-2,Alice la stagiaire,Successful,132,"€6,617","Out of €5,000",07/31/2019,137,,png,7,10.0,200.0,5,4,141,https://www.kisskissbankbank.com/en/users/nas-lazreg,fr,NOUVEL OBJECTIF 7000 € ! Infos en bas de page. Soutenez par un don l'équipe d'Alice la stagiaire à réaliser un film social d'actualité !
5,https://www.kisskissbankbank.com/en/projects/golf-destination-les-universites-americaines,"Golf, destination les Universités américaines",Successful,191,"€5,715","Out of €3,000",07/31/2019,44,,png,0,-1.0,-1.0,5,12,46,https://www.kisskissbankbank.com/en/users/edgar-naen,so,GOLF: DESTINATION AMERICAN UNIVERSITIES
6,https://www.kisskissbankbank.com/en/projects/boutique-atelier-nathalie-grelier,BOUTIQUE/ATELIER NATHALIE GRELIER // Broderies Végétales & Ornements Poétiques,Successful,121,"€3,630","Out of €3,000",07/31/2019,65,,gif,18,5.0,3000.0,20,25,68,https://www.kisskissbankbank.com/en/users/nathalie-grelier--2,fr,J-2 !!!! Plus que deux jours pour encourager mon projet d'ouverture d'Atelier/Boutique !!!
7,https://www.kisskissbankbank.com/en/projects/a-la-francaise,À la française,Successful,101,"€4,969","Out of €4,900",07/30/2019,51,,jpg,8,5.0,500.0,0,4,54,https://www.kisskissbankbank.com/en/users/magdeleine-et-hermine,fr,"1 an sur les routes de France, 2 étudiantes, 1 caméra pour découvrir les acteurs de l'écologie, de la culture et de l'artisanat français !"
8,https://www.kisskissbankbank.com/en/projects/le-studio-yoga-pilates--2,Le Studio Yoga & Pilates,Successful,104,"€8,335","Out of €8,000",07/29/2019,75,,jpg,10,5.0,1000.0,0,12,75,https://www.kisskissbankbank.com/en/users/le-studio-yoga-pilates,fr,Le Studio bien-être pour se déconnecter et partager ! Smile and Breathe !
9,https://www.kisskissbankbank.com/en/projects/educ-ange-acteur-de-changement,"Educ'ange, acteur de changement !",Successful,100,"€5,050","Out of €5,050",07/29/2019,26,,jpg,2,50.0,100.0,1,1,27,https://www.kisskissbankbank.com/en/users/karosan--2,fr,"Devenez facilitateur de changement, financez une initiative de transition éducative au sein du bassin mentonnais. "
