id,category,price,backers
0,music,15.0,25
0,music,25.0,42
0,music,35.0,25
0,music,55.0,19
0,music,80.0,5
0,music,130.0,6
0,music,250.0,0
0,music,600.0,1
1,music,35.0,23
1,music,10.0,23
1,music,70.0,14
1,music,120.0,18
2,music,5.0,0
2,music,10.0,4
2,music,20.0,3
2,music,30.0,1
2,music,50.0,1
2,music,100.0,4
2,music,200.0,2
2,music,500.0,0
2,music,600.0,0
3,music,20.0,37
3,music,30.0,60
3,music,35.0,12
3,music,45.0,17
3,music,90.0,15
3,music,90.0,2
3,music,150.0,4
3,music,200.0,3
3,music,250.0,0
3,music,300.0,0
3,music,650.0,2
3,music,800.0,0
4,music,22.0,10
4,music,5.0,2
4,music,5.0,4
4,music,10.0,6
4,music,12.0,2
4,music,19.0,1
4,music,40.0,1
4,music,100.0,0
4,music,200.0,0
4,music,550.0,1
5,music,12.0,57
5,music,20.0,46
5,music,25.0,86
5,music,30.0,40
5,music,40.0,34
5,music,45.0,44
5,music,70.0,11
5,music,80.0,16
5,music,450.0,3
5,music,10.0,144
5,music,20.0,80
6,music,40.0,6
6,music,5.0,1
6,music,10.0,2
6,music,15.0,25
6,music,20.0,9
6,music,30.0,11
6,music,30.0,6
6,music,35.0,0
6,music,60.0,1
6,music,60.0,1
6,music,150.0,0
6,music,300.0,0
6,music,400.0,0
6,music,500.0,0
7,music,5.0,0
7,music,10.0,7
7,music,20.0,11
7,music,50.0,8
7,music,600.0,1
8,music,1.0,1
8,music,10.0,6
8,music,30.0,8
8,music,50.0,1
8,music,100.0,6
9,music,5.0,2
9,music,8.0,3
9,music,17.0,35
9,music,19.0,15
9,music,23.0,24
9,music,26.0,7
9,music,33.0,9
9,music,50.0,10
9,music,60.0,3
9,music,100.0,5
9,music,150.0,2
9,music,250.0,0
9,music,550.0,0
9,music,1500.0,0
9,music,4800.0,0
10,music,8.0,14
10,music,15.0,35
10,music,25.0,25
10,music,45.0,17
10,music,60.0,5
10,music,80.0,2
10,music,300.0,0
11,music,5.0,2
11,music,10.0,5
11,music,20.0,19
11,music,30.0,10
11,music,50.0,12
11,music,70.0,0
11,music,100.0,7
11,music,200.0,0
11,music,500.0,0
11,music,1000.0,0
12,music,10.0,22
12,music,25.0,28
12,music,40.0,14
12,music,65.0,9
12,music,90.0,6
12,music,120.0,0
12,music,180.0,0
12,music,250.0,0
12,music,400.0,2
12,music,600.0,0
12,music,1000.0,0
13,music,840.0,0
13,music,5.0,6
13,music,15.0,17
13,music,20.0,19
13,music,25.0,24
13,music,35.0,11
13,music,60.0,12
13,music,65.0,3
13,music,85.0,6
13,music,100.0,6
13,music,440.0,1
13,music,640.0,0
14,music,5.0,11
14,music,10.0,31
14,music,20.0,66
