id,is_successful,percentage_fund,funded,target,in_2020,backers,category,thumbnail_type,num_rewards,min_price,max_price,num_news,num_comments,num_contributions,num_creator_projects
81,successful,114 %,"€5,679","Out of €5,000",8/5/2020,92,music,png,12,2.0,5000.0,1,31,97,1
82,successful,100 %,"€9,000","Out of €9,000",8/4/2020,80,music,jpg,4,30.0,200.0,2,23,86,1
83,successful,125 %,"€3,124","Out of €2,500",8/4/2020,124,music,jpg,9,6.0,800.0,0,25,126,1
84,successful,103 %,"€4,115","Out of €4,000",8/2/2020,73,music,jpg,7,5.0,200.0,0,14,79,1
85,successful,101 %,"€9,089","Out of €9,000",8/1/2020,76,music,JPG,12,20.0,1750.0,2,26,86,2
86,successful,125 %,"€4,386","Out of €3,500",7/28/2020,86,music,jpg,10,10.0,800.0,2,18,89,1
87,successful,129 %,"€5,140","Out of €4,000",7/28/2020,96,music,jpg,8,15.0,1000.0,0,18,97,2
88,successful,113 %,"€9,014","Out of €8,000",7/27/2020,132,music,png,13,1.0,1000.0,13,52,153,1
89,successful,149 %,"€7,440","Out of €5,000",7/26/2020,167,music,JPG,5,20.0,500.0,0,43,174,2
90,successful,105 %,"€6,320","Out of €6,000",7/26/2020,202,music,PNG,9,5.0,80.0,0,39,209,1
91,successful,123 %,"€7,381","Out of €6,000",7/25/2020,63,music,png,5,20.0,800.0,4,33,65,1
92,successful,122 %,"€7,295","Out of €6,000",7/24/2020,101,music,jpg,9,20.0,1000.0,1,32,105,2
93,successful,120 %,239 pre-orders,Out of 200,7/22/2020,94,music,png,5,15.0,180.0,4,23,104,1
94,successful,129 %,"€10,340","Out of €8,000",7/21/2020,115,music,jpeg,8,20.0,3000.0,2,25,118,1
95,successful,103 %,"€5,164","Out of €5,000",7/20/2020,98,music,JPG,3,20.0,60.0,2,10,103,1
96,successful,105 %,"€3,685","Out of €3,500",7/19/2020,120,music,jpg,7,5.0,100.0,3,13,124,1
97,successful,101 %,"€4,035","Out of €4,000",7/18/2020,78,music,jpg,9,12.0,1500.0,0,12,81,1
98,successful,128 %,"€6,405","Out of €5,000",7/17/2020,100,music,jpg,3,15.0,40.0,0,20,103,1
99,successful,101 %,"€3,549","Out of €3,500",7/15/2020,22,music,jpg,6,10.0,300.0,1,5,24,1
100,successful,323 %,"€3,225","Out of €1,000",7/14/2020,72,music,jpeg,9,5.0,1000.0,8,6,72,1
