id,is_successful,percentage_fund,funded,target,in_2020,backers,category,thumbnail_type,num_rewards,min_price,max_price,num_news,num_comments,num_contributions,num_creator_projects
45,unsuccessful,0 %,€0,Out of €100,05/30/2018,0,,png,0,-1.0,-1.0,0,0,0,3
46,unsuccessful,1 %,€17,"Out of €1,150",10/16/2020,2,,jpg,1,1.0,1.0,0,0,2,1
47,unsuccessful,7 %,€340,"Out of €4,800",06/25/2014,4,,jpg,9,5.0,200.0,1,1,4,1
48,unsuccessful,20 %,€566,"Out of €2,800",11/18/2014,14,,jpg,18,1.0,1000.0,7,1,14,2
49,unsuccessful,18 %,€550,"Out of €3,000",12/05/2019,11,,jpg,11,5.0,3500.0,3,1,12,1
50,unsuccessful,5 %,€101,"Out of €2,000",06/05/2017,2,,jpg,9,1.0,100.0,0,1,2,1
51,unsuccessful,17 %,"€1,132","Out of €6,660",04/09/2014,18,,jpg,8,2.0,666.0,1,0,18,1
52,unsuccessful,0 %,€0,"Out of €3,000",12/14/2015,0,,png,6,5.0,100.0,0,0,0,1
53,unsuccessful,8 %,€485,"Out of €6,000",07/04/2015,20,,jpg,7,5.0,125.0,0,3,20,1
54,unsuccessful,19 %,€125,Out of €650,03/26/2019,4,,jpg,5,1.0,250.0,0,0,6,1
55,unsuccessful,6 %,€416,"Out of €6,000",06/11/2017,6,,png,12,3.0,10000.0,0,2,6,1
56,unsuccessful,8 %,€130,"Out of €1,500",12/21/2017,2,,jpg,11,5.0,1000.0,0,0,2,1
57,unsuccessful,33 %,€835,"Out of €2,500",01/28/2015,26,,jpg,7,5.0,300.0,0,10,26,1
58,unsuccessful,4 %,€250,"Out of €6,000",10/10/2013,6,,jpeg,9,5.0,1000.0,0,1,6,1
59,unsuccessful,10 %,€100,"Out of €1,000",12/19/2018,3,,jpg,5,5.0,400.0,0,0,1,1
60,unsuccessful,3 %,€530,"Out of €15,000",08/09/2018,4,,png,11,5.0,1500.0,0,0,4,1
61,unsuccessful,9 %,€180,"Out of €1,850",08/18/2017,3,,jpg,5,10.0,75.0,1,3,3,1
62,unsuccessful,0 %,€0,"Out of €7,480",08/15/2014,0,,jpg,7,10.0,1000.0,1,0,0,1
63,unsuccessful,3 %,€321,"Out of €10,000",02/02/2018,6,,jpg,16,1.0,1000.0,2,0,6,1
64,unsuccessful,4 %,€140,"Out of €3,500",05/01/2013,5,,jpg,5,10.0,100.0,0,0,5,1
65,unsuccessful,4 %,"€1,225","Out of €35,000",12/13/2014,12,,jpeg,28,5.0,25000.0,0,0,12,1
